transaction_id,amount,failure_reason,ml_recovery_probability,ai_recommended_action,approved_action,guardrail_reason,simulated_recovery_probability,simulated_recovered
TXN000082,2620.6,Expired Card,0.3014,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000085,2536.18,Expired Card,0.0748,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000087,1642.52,Network Error,0.6383,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000092,4793.29,Expired Card,0.2839,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000093,1564.08,Bank Timeout,0.7587,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000094,2037.97,Expired Card,0.1966,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True
TXN000095,4047.8,Bank Timeout,0.8147,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000097,1516.23,Authentication Failed,0.4353,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000102,1755.75,Expired Card,0.0747,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000109,262.4,Insufficient Funds,0.4988,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000113,1892.33,Authentication Failed,0.422,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000114,855.59,Authentication Failed,0.4009,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000116,1765.39,Authentication Failed,0.3255,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000117,2031.53,Authentication Failed,0.5043,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True
TXN000119,2392.5,Insufficient Funds,0.5384,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000122,1290.85,Bank Timeout,0.6366,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.83,True
TXN000128,491.75,Expired Card,0.0637,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000130,2031.83,Authentication Failed,0.368,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000135,6322.33,Authentication Failed,0.4174,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,False
TXN000140,3573.59,Authentication Failed,0.5422,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000141,2817.35,Bank Timeout,0.8851,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000144,1370.57,Network Error,0.6412,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000146,1138.63,Expired Card,0.212,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000148,1683.1,Expired Card,0.1651,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000151,898.59,Authentication Failed,0.4461,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,False
TXN000153,775.17,Insufficient Funds,0.5787,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000159,386.23,Bank Timeout,0.8087,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000160,1873.83,Expired Card,0.1918,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True
TXN000162,469.95,Bank Timeout,0.7716,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000163,571.12,Insufficient Funds,0.3905,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000166,1128.01,Insufficient Funds,0.4904,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000167,2166.97,Network Error,0.7292,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000170,3273.12,Network Error,0.5753,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000171,1122.03,Network Error,0.6563,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000172,2380.1,Authentication Failed,0.4715,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000173,944.33,Insufficient Funds,0.6048,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True
TXN000177,3708.93,Insufficient Funds,0.7432,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.75,True
TXN000180,2328.61,Insufficient Funds,0.4725,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000181,651.64,Insufficient Funds,0.66,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True
TXN000182,742.71,Insufficient Funds,0.6264,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000183,1361.53,Authentication Failed,0.4274,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True
TXN000187,2313.25,Expired Card,0.1559,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True
TXN000188,596.22,Network Error,0.6191,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000189,323.94,Bank Timeout,0.7697,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000190,2075.98,Authentication Failed,0.4906,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000194,480.05,Network Error,0.7983,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,False
TXN000207,1268.38,Authentication Failed,0.3863,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000208,1337.53,Authentication Failed,0.4172,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True
TXN000211,883.68,Expired Card,0.3687,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000213,3323.33,Insufficient Funds,0.6193,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000219,1611.32,Bank Timeout,0.8552,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000223,8357.82,Expired Card,0.2141,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000224,1667.64,Authentication Failed,0.5096,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True
TXN000227,329.57,Authentication Failed,0.4562,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000234,1075.67,Network Error,0.5529,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000237,207.95,Bank Timeout,0.8193,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000240,588.6,Network Error,0.6605,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.85,True
TXN000241,1021.09,Insufficient Funds,0.4536,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000242,1123.26,Expired Card,0.1136,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000243,1636.61,Insufficient Funds,0.6955,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000245,821.58,Insufficient Funds,0.5397,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000246,2772.39,Network Error,0.8316,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,False
TXN000249,624.23,Authentication Failed,0.4162,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,True
TXN000254,1069.81,Expired Card,0.0576,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000260,280.88,Network Error,0.5582,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000261,4009.52,Network Error,0.7206,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000268,9008.34,Network Error,0.641,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000270,325.27,Network Error,0.5319,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,True
TXN000274,2387.6,Expired Card,0.1438,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True
TXN000277,3068.72,Authentication Failed,0.3835,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000280,1294.85,Authentication Failed,0.4532,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000283,755.7,Expired Card,0.1335,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000284,2228.79,Insufficient Funds,0.6284,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True
TXN000285,476.28,Bank Timeout,0.823,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000288,334.14,Authentication Failed,0.3957,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000293,285.59,Expired Card,0.2236,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000295,491.12,Bank Timeout,0.5948,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.83,True
TXN000298,1893.34,Network Error,0.5632,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,True
TXN000299,1054.09,Network Error,0.6879,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.85,True
TXN000301,2789.68,Insufficient Funds,0.5857,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000302,4011.36,Bank Timeout,0.6324,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000308,624.6,Authentication Failed,0.3506,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000311,1857.22,Network Error,0.7778,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000323,815.45,Bank Timeout,0.788,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000325,1277.78,Expired Card,0.1687,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000329,1261.98,Insufficient Funds,0.3248,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000333,701.25,Network Error,0.7862,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000338,951.28,Bank Timeout,0.6906,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000339,393.77,Insufficient Funds,0.5896,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True
TXN000347,1584.37,Insufficient Funds,0.6173,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000349,1020.67,Bank Timeout,0.8145,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000350,3470.64,Expired Card,0.1571,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True
TXN000353,763.68,Network Error,0.7305,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000355,1075.63,Network Error,0.6947,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.85,True
TXN000357,3650.86,Insufficient Funds,0.6967,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000358,2212.53,Network Error,0.6963,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000367,651.23,Insufficient Funds,0.449,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000371,444.85,Bank Timeout,0.8251,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000378,2223.7,Expired Card,0.2352,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000380,2041.85,Bank Timeout,0.8005,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000383,2749.06,Bank Timeout,0.6128,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000389,560.76,Insufficient Funds,0.3782,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000392,1546.94,Authentication Failed,0.4736,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000393,1139.91,Insufficient Funds,0.6395,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000395,1167.84,Insufficient Funds,0.2868,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000396,221.73,Authentication Failed,0.5341,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,False
TXN000400,477.27,Insufficient Funds,0.5657,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True
TXN000404,5446.49,Insufficient Funds,0.6091,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True
TXN000407,1397.04,Bank Timeout,0.8379,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,False
TXN000410,3456.96,Bank Timeout,0.7678,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000412,1921.65,Authentication Failed,0.517,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,False
TXN000414,294.42,Insufficient Funds,0.5178,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True
TXN000417,148.48,Insufficient Funds,0.6044,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000421,895.92,Bank Timeout,0.6939,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000422,1500.67,Insufficient Funds,0.636,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True
TXN000424,498.99,Network Error,0.5971,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000425,496.85,Network Error,0.762,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000426,2327.66,Bank Timeout,0.8199,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000431,1140.35,Insufficient Funds,0.6058,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000438,609.15,Authentication Failed,0.4,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True
TXN000439,2371.09,Expired Card,0.0663,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000443,1397.09,Bank Timeout,0.8387,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000445,688.6,Expired Card,0.1516,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000446,486.97,Insufficient Funds,0.4823,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000448,315.86,Insufficient Funds,0.512,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000451,496.43,Expired Card,0.1406,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000454,1785.24,Expired Card,0.1458,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True
TXN000456,2046.86,Insufficient Funds,0.6144,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000465,642.6,Authentication Failed,0.3795,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000466,2425.11,Expired Card,0.2523,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000470,1713.42,Network Error,0.8284,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,False
TXN000474,581.36,Bank Timeout,0.8123,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000477,671.34,Network Error,0.7117,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,False
TXN000480,2275.48,Network Error,0.6835,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.85,True
TXN000483,691.45,Bank Timeout,0.494,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000486,1069.82,Bank Timeout,0.7902,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000490,927.54,Expired Card,0.2925,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000491,305.12,Bank Timeout,0.7955,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000496,637.67,Insufficient Funds,0.2886,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000497,577.09,Network Error,0.464,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000499,2831.5,Network Error,0.7923,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000500,1949.18,Expired Card,0.2166,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True
TXN000501,351.62,Bank Timeout,0.5142,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000506,4625.86,Authentication Failed,0.6506,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True
TXN000515,1509.83,Insufficient Funds,0.6753,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True
TXN000519,1426.42,Insufficient Funds,0.5566,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000520,2253.37,Expired Card,0.1316,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True
TXN000525,343.82,Authentication Failed,0.4295,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000529,323.59,Network Error,0.7472,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000534,2126.6,Bank Timeout,0.5119,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000536,2354.88,Insufficient Funds,0.5387,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000540,1739.59,Network Error,0.7588,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000542,2620.18,Insufficient Funds,0.531,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000551,1455.04,Authentication Failed,0.4244,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000552,1208.58,Insufficient Funds,0.4664,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000554,524.13,Bank Timeout,0.8176,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000557,1157.01,Authentication Failed,0.4571,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000561,574.36,Authentication Failed,0.4201,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000571,654.08,Expired Card,0.0859,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000574,1650.99,Expired Card,0.2358,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000578,2748.35,Insufficient Funds,0.5172,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000583,886.75,Network Error,0.7382,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,False
TXN000590,1544.79,Network Error,0.8406,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000591,4602.42,Bank Timeout,0.8513,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000596,674.35,Bank Timeout,0.7331,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000602,582.86,Insufficient Funds,0.4811,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000605,492.62,Bank Timeout,0.7805,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000611,1342.58,Expired Card,0.0882,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000615,518.87,Bank Timeout,0.7285,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000617,529.24,Bank Timeout,0.7841,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000619,472.04,Network Error,0.6927,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.85,True
TXN000621,2257.41,Authentication Failed,0.4117,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000622,1301.87,Bank Timeout,0.8421,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000624,1128.73,Authentication Failed,0.5078,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True
TXN000633,1135.56,Bank Timeout,0.7788,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000636,209.71,Bank Timeout,0.6586,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000642,1115.49,Network Error,0.7487,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000647,1231.38,Network Error,0.7389,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000649,926.21,Bank Timeout,0.8265,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000655,1149.04,Insufficient Funds,0.6806,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True
