transaction_id,amount,failure_reason,ml_recovery_probability,ai_recommended_action,approved_action,guardrail_reason,simulated_recovery_probability,simulated_recovered,execution_type,decision_status,processed_at,timestamp,previous_failed_attempts,ai_recommendation,ai_priority,ai_fallback_used,guardrail_decision,action_executed,recovery_result,revenue_rescued
TXN000028,863.33,Network Error,0.7814,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000029,583.24,Network Error,0.5054,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000033,625.38,Expired Card,0.1376,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000034,843.76,Network Error,0.7246,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000035,353.44,Expired Card,0.147,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000040,495.68,Bank Timeout,0.5818,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000041,940.22,Insufficient Funds,0.4065,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000045,542.12,Authentication Failed,0.4826,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000047,317.18,Expired Card,0.1389,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000050,540.01,Network Error,0.7027,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000051,1315.49,Bank Timeout,0.7706,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000055,1797.43,Bank Timeout,0.501,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000056,2903.45,Expired Card,0.0884,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000061,547.79,Network Error,0.6738,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000065,1809.01,Insufficient Funds,0.6438,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000068,1982.81,Insufficient Funds,0.5502,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000079,590.95,Bank Timeout,0.7373,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000080,907.37,Insufficient Funds,0.5461,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000082,2620.6,Expired Card,0.3014,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000085,2536.18,Expired Card,0.0748,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000087,1642.52,Network Error,0.6383,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000092,4793.29,Expired Card,0.2839,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000093,1564.08,Bank Timeout,0.7587,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000094,2037.97,Expired Card,0.1966,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000095,4047.8,Bank Timeout,0.8147,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000097,1516.23,Authentication Failed,0.4353,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000102,1755.75,Expired Card,0.0747,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000109,262.4,Insufficient Funds,0.4988,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000113,1892.33,Authentication Failed,0.422,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000114,855.59,Authentication Failed,0.4009,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000116,1765.39,Authentication Failed,0.3255,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000117,2031.53,Authentication Failed,0.5043,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000119,2392.5,Insufficient Funds,0.5384,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000122,1290.85,Bank Timeout,0.6366,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.83,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000128,491.75,Expired Card,0.0637,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000130,2031.83,Authentication Failed,0.368,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000135,6322.33,Authentication Failed,0.4174,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000140,3573.59,Authentication Failed,0.5422,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000141,2817.35,Bank Timeout,0.8851,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000144,1370.57,Network Error,0.6412,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000146,1138.63,Expired Card,0.212,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000148,1683.1,Expired Card,0.1651,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000151,898.59,Authentication Failed,0.4461,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000153,775.17,Insufficient Funds,0.5787,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000159,386.23,Bank Timeout,0.8087,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000160,1873.83,Expired Card,0.1918,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000162,469.95,Bank Timeout,0.7716,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000163,571.12,Insufficient Funds,0.3905,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000166,1128.01,Insufficient Funds,0.4904,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000167,2166.97,Network Error,0.7292,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000170,3273.12,Network Error,0.5753,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000171,1122.03,Network Error,0.6563,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000172,2380.1,Authentication Failed,0.4715,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000173,944.33,Insufficient Funds,0.6048,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000177,3708.93,Insufficient Funds,0.7432,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.75,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000180,2328.61,Insufficient Funds,0.4725,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000181,651.64,Insufficient Funds,0.66,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000182,742.71,Insufficient Funds,0.6264,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000183,1361.53,Authentication Failed,0.4274,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000187,2313.25,Expired Card,0.1559,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000188,596.22,Network Error,0.6191,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000189,323.94,Bank Timeout,0.7697,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000190,2075.98,Authentication Failed,0.4906,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000194,480.05,Network Error,0.7983,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000207,1268.38,Authentication Failed,0.3863,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000208,1337.53,Authentication Failed,0.4172,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000211,883.68,Expired Card,0.3687,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000213,3323.33,Insufficient Funds,0.6193,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000219,1611.32,Bank Timeout,0.8552,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000223,8357.82,Expired Card,0.2141,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000224,1667.64,Authentication Failed,0.5096,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000227,329.57,Authentication Failed,0.4562,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000234,1075.67,Network Error,0.5529,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000237,207.95,Bank Timeout,0.8193,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000240,588.6,Network Error,0.6605,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.85,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000241,1021.09,Insufficient Funds,0.4536,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000242,1123.26,Expired Card,0.1136,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000243,1636.61,Insufficient Funds,0.6955,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000245,821.58,Insufficient Funds,0.5397,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000246,2772.39,Network Error,0.8316,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000249,624.23,Authentication Failed,0.4162,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000254,1069.81,Expired Card,0.0576,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000260,280.88,Network Error,0.5582,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000261,4009.52,Network Error,0.7206,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000268,9008.34,Network Error,0.641,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000270,325.27,Network Error,0.5319,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000274,2387.6,Expired Card,0.1438,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000277,3068.72,Authentication Failed,0.3835,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000280,1294.85,Authentication Failed,0.4532,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000283,755.7,Expired Card,0.1335,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000284,2228.79,Insufficient Funds,0.6284,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000285,476.28,Bank Timeout,0.823,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000288,334.14,Authentication Failed,0.3957,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000293,285.59,Expired Card,0.2236,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000295,491.12,Bank Timeout,0.5948,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.83,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000298,1893.34,Network Error,0.5632,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000299,1054.09,Network Error,0.6879,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.85,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000301,2789.68,Insufficient Funds,0.5857,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000302,4011.36,Bank Timeout,0.6324,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000308,624.6,Authentication Failed,0.3506,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000311,1857.22,Network Error,0.7778,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000323,815.45,Bank Timeout,0.788,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000325,1277.78,Expired Card,0.1687,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000329,1261.98,Insufficient Funds,0.3248,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000333,701.25,Network Error,0.7862,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000338,951.28,Bank Timeout,0.6906,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000339,393.77,Insufficient Funds,0.5896,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000347,1584.37,Insufficient Funds,0.6173,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000349,1020.67,Bank Timeout,0.8145,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000350,3470.64,Expired Card,0.1571,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000353,763.68,Network Error,0.7305,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000355,1075.63,Network Error,0.6947,RETRY_LATER,RETRY_LATER,AI recommendation approved.,0.85,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000357,3650.86,Insufficient Funds,0.6967,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000358,2212.53,Network Error,0.6963,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000367,651.23,Insufficient Funds,0.449,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000371,444.85,Bank Timeout,0.8251,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000378,2223.7,Expired Card,0.2352,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000380,2041.85,Bank Timeout,0.8005,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000383,2749.06,Bank Timeout,0.6128,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000389,560.76,Insufficient Funds,0.3782,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000392,1546.94,Authentication Failed,0.4736,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000393,1139.91,Insufficient Funds,0.6395,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000395,1167.84,Insufficient Funds,0.2868,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
