transaction_id,customer_id,transaction_time,amount,payment_method,customer_success_rate,previous_failed_attempts,is_new_device,status,failure_reason,recovered
TXN000093,CUST01905,2026-09-03 23:43:00,1564.08,Net Banking,0.63,3,1,Failed,Bank Timeout,1
TXN000094,CUST00696,2026-07-07 16:05:00,2037.97,Wallet,0.63,0,0,Failed,Expired Card,0
TXN000095,CUST00383,2026-03-23 18:56:00,4047.8,Net Banking,0.74,1,0,Failed,Bank Timeout,1
TXN000096,CUST00101,2026-06-22 23:48:00,349.28,Card,0.74,0,0,Success,None,0
TXN000097,CUST01866,2026-09-19 13:00:00,1516.23,UPI,0.41,3,0,Failed,Authentication Failed,0
TXN000098,CUST01637,2026-08-27 20:43:00,2270.58,Wallet,0.32,1,0,Success,None,0
TXN000099,CUST00437,2026-03-06 00:55:00,1200.88,UPI,0.57,3,0,Success,None,0
TXN000100,CUST00206,2026-12-01 00:58:00,1862.56,Wallet,0.62,4,0,Success,None,0
TXN000101,CUST01870,2026-09-01 01:22:00,971.24,UPI,0.97,1,1,Success,None,0
TXN000102,CUST01813,2026-10-30 09:37:00,1755.75,Net Banking,0.44,4,1,Failed,Expired Card,0
TXN000103,CUST00652,2026-04-05 08:51:00,743.12,Wallet,0.52,3,1,Success,None,0
TXN000104,CUST02612,2026-08-17 04:36:00,1294.76,Card,0.32,2,1,Success,None,0
TXN000105,CUST01125,2026-09-17 19:03:00,666.61,Card,0.79,3,0,Success,None,0
TXN000106,CUST00961,2026-04-27 09:39:00,825.19,Net Banking,0.91,2,0,Success,None,0
TXN000107,CUST00567,2026-05-20 11:00:00,662.64,UPI,0.42,1,0,Success,None,0
TXN000108,CUST02894,2026-06-01 01:10:00,2211.45,Card,0.86,1,0,Success,None,0
TXN000109,CUST01356,2026-06-01 09:05:00,262.4,Wallet,0.84,4,1,Failed,Insufficient Funds,0
TXN000110,CUST01721,2026-11-08 22:14:00,413.04,Card,0.9,3,0,Success,None,0
TXN000111,CUST01954,2026-04-19 17:19:00,2122.46,Wallet,0.37,0,0,Success,None,0
TXN000112,CUST01717,2026-06-27 18:12:00,2102.34,Wallet,0.65,4,0,Success,None,0
TXN000113,CUST01118,2026-01-11 13:37:00,1892.33,Card,0.57,3,1,Failed,Authentication Failed,0
TXN000114,CUST02740,2026-11-03 00:27:00,855.59,Net Banking,0.36,3,0,Failed,Authentication Failed,0
TXN000115,CUST02549,2026-11-27 04:51:00,1185.12,Card,0.74,4,0,Success,None,0
TXN000116,CUST02425,2026-01-31 13:32:00,1765.39,Wallet,0.51,4,0,Failed,Authentication Failed,0
TXN000117,CUST01892,2026-04-05 17:16:00,2031.53,Card,0.85,1,0,Failed,Authentication Failed,1
TXN000118,CUST00867,2026-05-03 21:07:00,1869.91,Net Banking,0.34,3,0,Success,None,0
TXN000119,CUST01140,2026-10-31 23:33:00,2392.5,Wallet,0.55,3,0,Failed,Insufficient Funds,1
TXN000120,CUST00080,2026-12-13 14:00:00,974.92,Wallet,0.83,4,0,Success,None,0
TXN000121,CUST00919,2026-10-02 14:35:00,775.38,Net Banking,0.88,0,0,Success,None,0
TXN000122,CUST01013,2026-08-15 05:18:00,1290.85,UPI,0.36,1,0,Failed,Bank Timeout,0
TXN000123,CUST00518,2026-07-25 08:02:00,344.31,Card,0.87,3,0,Success,None,0
TXN000124,CUST01905,2026-03-03 02:09:00,355.68,Card,0.99,2,0,Success,None,0
TXN000125,CUST00671,2026-07-30 16:37:00,617.23,UPI,0.84,2,0,Success,None,0
TXN000126,CUST01278,2026-05-25 10:01:00,924.49,UPI,0.6,4,1,Success,None,0
TXN000127,CUST00312,2026-02-07 02:25:00,1080.08,Card,0.31,4,0,Success,None,0
TXN000128,CUST02803,2026-10-17 21:32:00,491.75,Net Banking,0.34,4,0,Failed,Expired Card,0
TXN000129,CUST01423,2026-08-29 20:27:00,3031.8,UPI,0.71,4,1,Success,None,0
TXN000130,CUST00283,2026-01-05 14:33:00,2031.83,Net Banking,0.56,4,0,Failed,Authentication Failed,0
TXN000131,CUST00433,2026-08-20 09:49:00,1311.96,Wallet,0.35,3,0,Success,None,0
TXN000132,CUST02898,2026-03-06 03:06:00,1107.74,Wallet,0.98,1,1,Success,None,0
TXN000133,CUST02523,2026-06-19 06:07:00,3501.39,Net Banking,0.62,4,1,Success,None,0
TXN000134,CUST02995,2026-04-28 08:20:00,2362.36,Wallet,0.71,4,0,Success,None,0
TXN000135,CUST00355,2026-03-30 18:54:00,6322.33,Card,0.49,2,1,Failed,Authentication Failed,0
TXN000136,CUST01378,2026-11-06 19:44:00,574.42,Wallet,0.55,0,1,Success,None,0
TXN000137,CUST00745,2026-05-10 04:30:00,237.42,Net Banking,0.87,3,0,Success,None,0
TXN000138,CUST01395,2026-07-22 08:34:00,1465.54,Net Banking,0.41,2,0,Success,None,0
TXN000139,CUST02117,2026-03-29 21:00:00,1985.39,UPI,0.59,1,0,Success,None,0
TXN000140,CUST02002,2026-09-09 10:38:00,3573.59,Wallet,0.91,4,0,Failed,Authentication Failed,1
TXN000141,CUST01836,2026-04-18 03:04:00,2817.35,Wallet,0.99,0,0,Failed,Bank Timeout,1
TXN000142,CUST02834,2026-08-30 17:46:00,753.45,Wallet,0.57,1,0,Success,None,0
TXN000143,CUST01939,2026-06-04 22:06:00,1367.18,Net Banking,0.63,4,0,Success,None,0
TXN000144,CUST01442,2026-04-22 15:18:00,1370.57,Net Banking,0.49,3,0,Failed,Network Error,0
TXN000145,CUST00495,2026-02-13 12:41:00,1101.24,Card,0.84,1,0,Success,None,0
TXN000146,CUST00785,2026-04-11 16:05:00,1138.63,Card,0.89,1,1,Failed,Expired Card,0
TXN000147,CUST00412,2026-03-24 19:46:00,366.91,Net Banking,0.77,1,0,Success,None,0
TXN000148,CUST00735,2026-09-15 18:45:00,1683.1,Net Banking,0.55,2,0,Failed,Expired Card,0
TXN000149,CUST01124,2026-07-21 11:19:00,3793.03,Card,0.66,0,0,Success,None,0
TXN000150,CUST02857,2026-02-07 08:25:00,1202.96,Net Banking,0.69,1,1,Success,None,0
TXN000151,CUST02352,2026-06-24 07:04:00,898.59,UPI,0.39,2,1,Failed,Authentication Failed,0
TXN000152,CUST00756,2026-12-09 15:08:00,2385.72,Net Banking,0.73,0,0,Success,None,0
TXN000153,CUST00468,2026-06-29 00:56:00,775.17,Wallet,0.31,0,1,Failed,Insufficient Funds,1
TXN000154,CUST00622,2026-02-01 00:19:00,833.93,UPI,0.57,1,0,Success,None,0
TXN000155,CUST00486,2026-08-09 18:05:00,884.02,Card,0.66,4,1,Success,None,0
TXN000156,CUST02141,2026-11-27 18:37:00,1946.98,Card,0.58,3,1,Success,None,0
TXN000157,CUST01218,2026-04-22 04:27:00,280.7,Wallet,0.62,4,1,Success,None,0
TXN000158,CUST02498,2026-08-16 17:50:00,1048.97,UPI,0.64,0,0,Success,None,0
TXN000159,CUST01084,2026-03-29 07:58:00,386.23,Card,0.35,0,0,Failed,Bank Timeout,1
TXN000160,CUST00642,2026-06-14 00:33:00,1873.83,UPI,0.41,0,1,Failed,Expired Card,0
TXN000161,CUST01193,2026-04-15 21:29:00,726.99,Wallet,0.93,0,0,Success,None,0
TXN000162,CUST02880,2026-09-08 06:27:00,469.95,Net Banking,0.77,3,0,Failed,Bank Timeout,1
TXN000163,CUST02561,2026-06-04 18:55:00,571.12,Net Banking,0.36,4,0,Failed,Insufficient Funds,0
TXN000164,CUST02653,2026-10-28 23:12:00,701.19,Card,0.44,1,0,Success,None,0
TXN000165,CUST00293,2026-10-16 14:05:00,5280.52,Card,0.33,0,0,Success,None,0
TXN000166,CUST02438,2026-06-09 21:22:00,1128.01,Net Banking,0.74,4,0,Failed,Insufficient Funds,0
TXN000167,CUST02821,2026-12-10 05:13:00,2166.97,Wallet,0.82,2,1,Failed,Network Error,1
TXN000168,CUST01794,2026-11-20 19:53:00,667.61,Wallet,0.56,0,0,Success,None,0
TXN000169,CUST01321,2026-01-10 10:00:00,326.31,Wallet,0.62,4,0,Success,None,0
TXN000170,CUST00938,2026-10-06 10:34:00,3273.12,UPI,0.33,4,0,Failed,Network Error,0
TXN000171,CUST00718,2026-11-30 12:45:00,1122.03,UPI,0.67,3,1,Failed,Network Error,1
TXN000172,CUST02398,2026-02-03 05:17:00,2380.1,Card,0.67,3,1,Failed,Authentication Failed,1
TXN000173,CUST01673,2026-09-01 23:42:00,944.33,Net Banking,0.53,2,0,Failed,Insufficient Funds,1
TXN000174,CUST01351,2026-04-15 22:29:00,1055.5,Card,0.38,3,1,Success,None,0
TXN000175,CUST02254,2026-02-02 01:28:00,4228.97,Wallet,0.85,0,1,Success,None,0
TXN000176,CUST01034,2026-10-09 06:37:00,2220.11,Net Banking,0.36,2,0,Success,None,0
TXN000177,CUST02108,2026-05-31 11:00:00,3708.93,Wallet,0.6,0,1,Failed,Insufficient Funds,1
TXN000178,CUST02124,2026-08-16 16:54:00,1687.71,Card,0.55,2,1,Success,None,0
TXN000179,CUST00212,2026-07-19 23:09:00,237.22,Wallet,0.99,1,0,Success,None,0
TXN000180,CUST01180,2026-02-14 05:02:00,2328.61,Card,0.47,3,1,Failed,Insufficient Funds,1
TXN000181,CUST02908,2026-07-20 13:18:00,651.64,Card,0.43,1,0,Failed,Insufficient Funds,1
TXN000182,CUST00382,2026-06-18 00:11:00,742.71,Wallet,0.93,1,0,Failed,Insufficient Funds,1
TXN000183,CUST02042,2026-06-01 06:36:00,1361.53,Card,0.38,2,0,Failed,Authentication Failed,0
TXN000184,CUST00999,2026-05-20 15:49:00,1053.43,Wallet,0.91,3,0,Success,None,0
TXN000185,CUST02456,2026-11-11 13:58:00,614.49,Card,0.77,4,0,Success,None,0
TXN000186,CUST01132,2026-12-07 03:35:00,716.18,UPI,0.69,3,0,Success,None,0
TXN000187,CUST00011,2026-11-01 21:58:00,2313.25,Net Banking,0.43,2,0,Failed,Expired Card,0
TXN000188,CUST00609,2026-05-06 15:44:00,596.22,Wallet,0.66,3,1,Failed,Network Error,1
TXN000189,CUST01866,2026-09-11 22:50:00,323.94,Wallet,0.71,2,0,Failed,Bank Timeout,1
TXN000190,CUST00957,2026-04-26 20:16:00,2075.98,Wallet,0.67,3,0,Failed,Authentication Failed,1
TXN000191,CUST01582,2026-01-14 11:28:00,677.51,Wallet,0.78,1,1,Success,None,0
TXN000192,CUST02058,2026-11-13 15:33:00,2014.65,Card,0.72,4,0,Success,None,0
TXN000193,CUST01804,2026-01-06 14:06:00,266.08,UPI,0.95,0,1,Success,None,0
TXN000194,CUST01680,2026-06-20 22:28:00,480.05,Card,0.98,1,0,Failed,Network Error,1
TXN000195,CUST02553,2026-11-07 02:50:00,1175.29,Net Banking,0.7,3,0,Success,None,0
TXN000196,CUST02763,2026-04-26 07:01:00,968.22,Net Banking,0.4,4,1,Success,None,0
TXN000197,CUST02217,2026-03-27 11:27:00,742.42,Wallet,0.41,0,0,Success,None,0
TXN000198,CUST00932,2026-02-05 20:12:00,775.85,Net Banking,0.77,0,1,Success,None,0
TXN000199,CUST01818,2026-11-25 22:14:00,2201.51,UPI,0.57,1,0,Success,None,0
TXN000200,CUST00189,2026-04-17 19:29:00,844.87,UPI,0.61,2,0,Success,None,0
TXN000201,CUST01536,2026-03-30 21:49:00,245.52,Net Banking,0.82,3,0,Success,None,0
TXN000202,CUST02319,2026-03-05 17:46:00,827.81,Wallet,0.46,1,0,Success,None,0
TXN000203,CUST02497,2026-07-01 04:40:00,2129.25,UPI,0.93,3,0,Success,None,0
TXN000204,CUST00952,2026-06-17 07:47:00,187.0,Card,0.38,3,0,Success,None,0
TXN000205,CUST02732,2026-11-25 02:53:00,336.01,Net Banking,0.4,0,1,Success,None,0
TXN000206,CUST02776,2026-01-27 21:24:00,2738.06,Net Banking,0.73,4,0,Success,None,0
TXN000207,CUST01416,2026-08-21 15:07:00,1268.38,Wallet,0.41,4,0,Failed,Authentication Failed,1
TXN000208,CUST01872,2026-05-21 01:30:00,1337.53,Net Banking,0.82,2,0,Failed,Authentication Failed,0
TXN000209,CUST00972,2026-07-29 06:46:00,1608.7,UPI,0.54,3,0,Success,None,0
TXN000210,CUST02865,2026-10-30 04:58:00,1432.15,Net Banking,0.38,2,0,Success,None,0
TXN000211,CUST01125,2026-11-28 13:05:00,883.68,Wallet,0.86,0,0,Failed,Expired Card,1
TXN000212,CUST01173,2026-03-21 17:41:00,501.19,Wallet,0.81,1,0,Success,None,0
TXN000213,CUST02544,2026-08-17 17:42:00,3323.33,Card,0.68,2,0,Failed,Insufficient Funds,1
TXN000214,CUST01266,2026-07-31 00:23:00,2457.46,UPI,0.43,3,0,Success,None,0
TXN000215,CUST03000,2026-11-28 04:26:00,264.28,Net Banking,0.62,1,0,Success,None,0
TXN000216,CUST01339,2026-03-15 02:34:00,3629.45,Net Banking,0.41,3,0,Success,None,0
TXN000217,CUST02210,2026-10-30 08:46:00,7758.94,Card,0.31,2,0,Success,None,0
TXN000218,CUST01053,2026-09-29 19:32:00,1216.07,Card,0.95,3,0,Success,None,0
TXN000219,CUST00472,2026-02-21 05:57:00,1611.32,Net Banking,0.8,3,0,Failed,Bank Timeout,1
TXN000220,CUST02283,2026-10-15 21:05:00,1311.74,Wallet,0.72,2,0,Success,None,0
TXN000221,CUST00058,2026-06-15 13:58:00,1270.42,Wallet,0.95,2,0,Success,None,0
TXN000222,CUST02756,2026-10-27 10:23:00,1188.06,Net Banking,0.38,2,1,Success,None,0
TXN000223,CUST00444,2026-01-10 02:40:00,8357.82,Net Banking,0.58,1,1,Failed,Expired Card,0
TXN000224,CUST02499,2026-08-20 08:14:00,1667.64,Net Banking,0.86,1,0,Failed,Authentication Failed,1
TXN000225,CUST02660,2026-02-20 21:23:00,2168.51,Net Banking,0.94,3,0,Success,None,0
TXN000226,CUST00153,2026-02-12 06:40:00,171.3,UPI,0.54,2,1,Success,None,0
TXN000227,CUST00962,2026-05-22 12:02:00,329.57,UPI,0.62,4,0,Failed,Authentication Failed,1
TXN000228,CUST02747,2026-08-02 20:15:00,890.17,Net Banking,0.65,4,1,Success,None,0
TXN000229,CUST01700,2026-08-13 03:39:00,911.65,Card,0.71,0,1,Success,None,0
TXN000230,CUST01146,2026-03-21 02:31:00,1914.03,Wallet,0.31,0,0,Success,None,0
TXN000231,CUST01822,2026-02-06 04:10:00,884.38,Wallet,0.36,1,0,Success,None,0
TXN000232,CUST02231,2026-05-25 22:59:00,452.5,Net Banking,0.65,2,0,Success,None,0
TXN000233,CUST00778,2026-02-03 09:03:00,1108.92,Net Banking,0.45,0,1,Success,None,0
TXN000234,CUST02629,2026-01-19 09:57:00,1075.67,Card,0.44,4,0,Failed,Network Error,1
TXN000235,CUST00516,2026-01-25 23:31:00,8569.3,Card,0.35,4,0,Success,None,0
TXN000236,CUST02402,2026-04-30 14:59:00,452.29,Card,0.62,1,0,Success,None,0
TXN000237,CUST02442,2026-11-09 12:52:00,207.95,Card,0.69,0,0,Failed,Bank Timeout,1
TXN000238,CUST02213,2026-02-10 00:33:00,406.46,Card,0.9,2,0,Success,None,0
TXN000239,CUST00540,2026-10-15 14:59:00,355.67,UPI,0.75,0,0,Success,None,0
TXN000240,CUST02412,2026-03-05 10:35:00,588.6,Card,0.32,2,0,Failed,Network Error,0
TXN000241,CUST00520,2026-09-29 11:43:00,1021.09,UPI,0.46,3,0,Failed,Insufficient Funds,0
TXN000242,CUST01837,2026-06-14 13:41:00,1123.26,Wallet,0.31,2,0,Failed,Expired Card,0
TXN000243,CUST02520,2026-06-16 18:26:00,1636.61,Card,0.47,0,0,Failed,Insufficient Funds,1
TXN000244,CUST01962,2026-09-07 19:12:00,472.2,UPI,0.81,3,1,Success,None,0
TXN000245,CUST02009,2026-11-24 09:54:00,821.58,UPI,0.77,3,0,Failed,Insufficient Funds,1
TXN000246,CUST02492,2026-02-15 22:40:00,2772.39,Net Banking,0.93,1,0,Failed,Network Error,1
TXN000247,CUST01561,2026-06-15 04:37:00,1423.55,Net Banking,0.59,4,0,Success,None,0
TXN000248,CUST00407,2026-06-06 14:00:00,403.07,Wallet,0.87,0,0,Success,None,0
TXN000249,CUST00936,2026-10-29 06:05:00,624.23,Wallet,0.71,3,0,Failed,Authentication Failed,0
TXN000250,CUST01704,2026-06-05 09:07:00,355.4,Wallet,0.59,0,0,Success,None,0
TXN000251,CUST02725,2026-12-14 04:37:00,269.68,Net Banking,0.96,2,0,Success,None,0
TXN000252,CUST02814,2026-02-03 05:08:00,709.15,Card,0.4,3,0,Success,None,0
TXN000253,CUST00382,2026-09-29 02:19:00,2386.2,UPI,0.86,3,0,Success,None,0
TXN000254,CUST00533,2026-08-02 12:36:00,1069.81,Net Banking,0.32,4,0,Failed,Expired Card,0
TXN000255,CUST02745,2026-05-09 17:47:00,372.95,Net Banking,0.4,0,1,Success,None,0
TXN000256,CUST02954,2026-08-07 14:27:00,1987.46,Wallet,0.99,0,0,Success,None,0
TXN000257,CUST01441,2026-02-26 08:03:00,712.08,Net Banking,0.31,0,0,Success,None,0
TXN000258,CUST00919,2026-11-04 18:59:00,588.37,Wallet,0.38,0,0,Success,None,0
TXN000259,CUST00471,2026-10-21 21:36:00,1520.21,Net Banking,0.76,2,0,Success,None,0
TXN000260,CUST02298,2026-08-10 17:28:00,280.88,Wallet,0.44,4,0,Failed,Network Error,1
TXN000261,CUST00739,2026-12-02 12:31:00,4009.52,UPI,0.77,2,0,Failed,Network Error,0
TXN000262,CUST00026,2026-07-26 04:35:00,3852.18,Net Banking,0.59,1,0,Success,None,0
TXN000263,CUST00286,2026-02-03 09:47:00,665.24,Wallet,0.42,1,0,Success,None,0
TXN000264,CUST01541,2026-05-05 02:47:00,1119.76,Card,0.36,3,1,Success,None,0
TXN000265,CUST01516,2026-10-10 20:05:00,672.35,Card,0.5,2,0,Success,None,0
TXN000266,CUST00216,2026-10-02 16:21:00,355.91,UPI,0.8,1,0,Success,None,0
TXN000267,CUST02761,2026-06-11 07:58:00,513.11,UPI,0.76,0,0,Success,None,0
TXN000268,CUST01990,2026-05-31 19:11:00,9008.34,Wallet,0.81,4,1,Failed,Network Error,1
TXN000269,CUST02099,2026-06-06 12:38:00,1783.0,Card,0.34,0,0,Success,None,0
TXN000270,CUST01161,2026-07-11 20:25:00,325.27,UPI,0.72,4,1,Failed,Network Error,0
